cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
70	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	675.361	2523	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
71	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	405.103	4030	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
72	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	1064.16	5051	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
73	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	305.066	95	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
74	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	447.093	185	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
75	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	243.051	3312	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
76	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	913.141	3412	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
77	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	457.077	67	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
78	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	477.103	168	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
79	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	343.065	572	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
80	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	332.077	46	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
81	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	635.088	694	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
82	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	331.065	1030	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
83	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	483.076	647	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
84	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	761.135	1395	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
85	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	481.099	1716	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
86	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	483.076	648	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
87	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	343.066	385	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
88	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	564.33	1043	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
89	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	169.014	1639	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
90	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	495.076	76	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
91	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	483.077	509	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
92	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	331.065	3677	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
93	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	452.277	1683	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
94	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	562.314	1322	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
95	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	609.088	402	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
96	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	484.087	171	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
97	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	321.024	258	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
98	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	629.114	3583	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
99	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	354.058	534	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
100	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	761.136	453	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
101	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	457.075	681	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
102	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	637.079	2948	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
103	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	767.111	522	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
104	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	289.072	81	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
105	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	434.081	4782	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
106	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	1008.72	743	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
107	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	419.098	2824	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
108	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	865.196	824	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
