"","species_code","sample","phenSumTIC","sapSumTIC","logPhen","logSap","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"343","M5","M5_1458",1803424.211563,15056.166661,14.4051977554669,9.61954293117144,0.991720467902049,0.00827953209795117,41.72,0,0,1,0.991720467902049,0.00827953209795117
"344","M5","M5_735_2",221729.531252,2293.244779,12.3092135903962,7.73772302770561,0.989763340944036,0.0102366590559643,41.72,0,0,1,0.989763340944036,0.0102366590559643
"345","M5","M5_736_2",304594.709467,3723.158585,12.6267373505038,8.22232766899024,0.987924285385977,0.0120757146140232,41.72,0,0,1,0.987924285385977,0.0120757146140232
"346","M51","M51_1827",7089716.517426,1060528.185034,15.7741559142712,13.874277629752,0.8698777492271,0.1301222507729,42.18333333,0,0,1,0.8698777492271,0.1301222507729
"347","M51","M51_1875",11230843.620931,1966301.153241,16.2341744459707,14.4916647486506,0.851005563181422,0.148994436818578,42.18333333,0,0,1,0.851005563181422,0.148994436818578
"348","M51","M51_1904",5844938.012893,1323629.729976,15.5810865476812,14.0958883162279,0.815356459274212,0.184643540725788,42.18333333,0,0,1,0.815356459274212,0.184643540725788
"349","M51","M51_791",5005047.382385,1048157.753698,15.4259574376966,13.8625446608727,0.826842518940923,0.173157481059077,42.18333333,0,0,1,0.826842518940923,0.173157481059077
"350","M51","M51_792",2941652.511062,710273.33638,14.8944820600004,13.4734051557483,0.80550718550939,0.19449281449061,42.18333333,0,0,1,0.80550718550939,0.19449281449061
"351","M60","M60_797_2",397713.172311,1123053.052591,12.8934863518718,13.9315614744489,0.261521571033463,0.738478428966537,32.06,0,0,1,0.261521571033463,0.738478428966537
"352","M60","M60_1829",1923690.574373,4161823.778736,14.4697560731437,15.2414639445146,0.316109775238672,0.683890224761328,32.06,0,0,1,0.316109775238672,0.683890224761328
"353","M60","M60_2144",1610049.283567,3383381.18475,14.2917753474033,15.0343861179598,0.322433504137619,0.677566495862381,32.06,0,0,1,0.322433504137619,0.677566495862381
"354","M60","M60_779_2",446957.899124,918032.291409,13.0102196837551,13.7299878448108,0.327444037491194,0.672555962508806,32.06,0,0,1,0.327444037491194,0.672555962508806
"355","M60","M60_780_2",148668.242455,601855.850564,11.909472541751,13.3077732447277,0.198085902688318,0.801914097311682,32.06,0,0,1,0.198085902688318,0.801914097311682
"356","M61","M61_782_2",448156.618463,2522.749445,13.0128980450866,7.8331046353466,0.994402340944272,0.00559765905572803,33.2,0.138466666666667,0.294317698738841,0.705682301261159,0.701732132337038,0.00395016892412152
"357","M61","M61_1844",1564569.006062,10272.781382,14.2631209485405,9.23725309215657,0.993476943865788,0.00652305613421201,33.2,0.138466666666667,0.294317698738841,0.705682301261159,0.701079095997113,0.00460320526404646
"358","M61","M61_781_2",555540.110649,3197.238162,13.2276960918439,8.07004264174969,0.994277743972541,0.00572225602745863,33.2,0.138466666666667,0.294317698738841,0.705682301261159,0.701644206459297,0.00403809480186254
