"","LA1_edulis","LA10_umbellifera","LA12_capitataESU2","LA13_cylindrica","LA17_NA","LA18_chartacea","LA19_venusta","LA2_heterophylla","LA20a_nobilis","LA20b_nobilis","LA22_bourgonii","LA23_alata","LA25_acreana","LA26_setosa","LA28_venusta","LA3_alba","LA31_spectabilis","LA32_brachystachys","LA33_capitataESU1","LA34_tenuistipula","LA35_capitataESU3","LA37_punctata","LA4_thibaudiana","LA41_NA","LA42_fosteriana.","LA43_marginata","LA44_suaveolens","LA45_sapindoides","LA46_tomentosa","LA48_NA","LA49_ruiziana","LA55_NA","LA59_coruscans","LA6_NA","LA60_laurina","LA7_leiocalycina","LA8_auristellae","LA9_poeppigiana"
"LA28_venusta",0.348928886857391,0.243124552101731,0.412310565690936,0.134116813780249,0.340033665896515,0.140982253835241,0.120280123546246,0.335354096934328,0.310071649124081,0.260847893284783,0.223518192559973,0.151577649650102,0.117103989788111,0.554450339827073,0.817154241689,0.0375121533228907,0.600265009051977,0.354934137469235,0.411939909718957,0.331580989112479,0.441714337218953,0.50775795850566,0.41661151322071,0.367453474119515,0.379863252053917,0.0883430972172601,0.276620876683558,0.0392253928544647,0.148181162915388,0.33802217552873,0.570952464953669,0.627623669018525,0.0956741233711648,0.557376230118721,0.321204624909605,0.284154864999773,0.175569159642712,0.495684535091489
"LA3_alba",0.0342659048018683,0.215321280447949,0.0342943356729726,0.0823999804269753,0.0455472017121471,0.0652974255313543,0.0793117577965039,0.225721664767772,0.0255762248066454,0.0339565580125677,0.0566240351895507,0.0882752890483408,0.0859662099749436,0.0409518711633731,0.0375121533228907,0.786698916472822,0.0491872757564373,0.215175543992941,0.0447395503845593,0.112486277562959,0.037120021629342,0.0554355219568483,0.0515896885529954,0.0359482852389432,0.0347175166301625,0.081157953561329,0.047449756522875,0.417123051443709,0.0709766462317343,0.0351886877350995,0.0438147700066071,0.0426678790022957,0.0833482190567427,0.0417329878620629,0.224030984101461,0.0412494014250833,0.0789531866492918,0.0358951550422303
"LA31_spectabilis",0.353413322914742,0.257284656731374,0.378312021093841,0.140912371650737,0.344553664928256,0.15120952085674,0.143281989607717,0.346865240741827,0.298394825399507,0.277569268162376,0.248282615617013,0.155134719963254,0.127882461095542,0.559137304416118,0.600265009051977,0.0491872757564373,0.774051575220341,0.35276584099282,0.387758379777508,0.353070977066994,0.412187420649545,0.539267820665326,0.428679872843778,0.391122434321704,0.387492049149585,0.107879045273064,0.324808817478676,0.0505925377145024,0.181821508212748,0.346354701886972,0.565044667364061,0.603920250222302,0.115402733053283,0.553421465732511,0.330615914124103,0.323302490020001,0.176784975506524,0.469552524719835
"LA32_brachystachys",0.353734187215291,0.497062895332571,0.377171374773176,0.108083667470202,0.300239259906365,0.180049361874576,0.0932670593170978,0.617910122433249,0.307649025649184,0.256736788903036,0.278324172628897,0.143608729232781,0.111939867312955,0.342635920386359,0.354934137469235,0.215175543992941,0.35276584099282,0.870324605228834,0.352514806203483,0.410665680669723,0.395573342287765,0.313140641718751,0.267936022138593,0.364469435220789,0.352381411975235,0.0938002182073092,0.264954696059911,0.0347671940727484,0.131284796815003,0.358774280554168,0.331359215666439,0.380208157481665,0.0686379757813967,0.362424597807078,0.632698781270911,0.283363642824468,0.130524745599266,0.279127202976573
"LA33_capitataESU1",0.284449215257465,0.239626982997411,0.720752071870936,0.0859106136355521,0.307055736499279,0.111885127048341,0.0847736581386045,0.410465904304168,0.269201548322003,0.222607249542825,0.186361692577466,0.137030963247712,0.0839783420204015,0.38110564978868,0.411939909718957,0.0447395503845593,0.387758379777508,0.352514806203483,0.828645319851665,0.264470841733112,0.721778138180536,0.358359659496665,0.275039501630047,0.313265613955315,0.290839448941335,0.0726925193399972,0.234058123620234,0.0356624833151729,0.105703669437333,0.25224953580891,0.386056255432732,0.384735650042527,0.0619831351318624,0.37426220799378,0.410587485913297,0.249016987714239,0.112978592120467,0.280588453280189
"LA34_tenuistipula",0.538725736183604,0.351191612629544,0.27076931432073,0.0848578553546104,0.264364158983074,0.240048862499355,0.129029982985805,0.304737827542585,0.548105478054528,0.496545430467165,0.392026899550895,0.0900301073209475,0.117982922387633,0.372019559056256,0.331580989112479,0.112486277562959,0.353070977066994,0.410665680669723,0.264470841733112,0.851045471167059,0.283871565238467,0.317516636301051,0.248727154245035,0.405114234137719,0.599879054112888,0.111035892576132,0.287076694211193,0.0365890001145873,0.155329349234119,0.570665398556076,0.378040527350901,0.349029305445993,0.0665682145276578,0.342233394982573,0.304994376373499,0.337445703811248,0.108734728276861,0.269415021618272
"LA35_capitataESU3",0.308976413328306,0.262532014199051,0.686718402294458,0.0931961337273075,0.33357806795625,0.122849179142156,0.0849620323793152,0.429444004364434,0.286484657519627,0.228639899655038,0.1945592618466,0.152830539058564,0.0955365380603942,0.399118688414016,0.441714337218953,0.037120021629342,0.412187420649545,0.395573342287765,0.721778138180536,0.283871565238467,0.880266198558032,0.374673765615963,0.285383846126451,0.35925976840803,0.324602894525743,0.0734985987448128,0.256429983611708,0.0306994269606982,0.113097194756885,0.278209598342154,0.403206667429197,0.42429088048683,0.0621413144133666,0.429980138012607,0.430950835715327,0.26987590623507,0.11809241574,0.296598994865633
"LA37_punctata",0.350811782258972,0.24328544835687,0.340672899952235,0.124903392213758,0.331944760505514,0.139759701464693,0.137412668039932,0.345505195513336,0.261701861678049,0.250211883572785,0.244938659277178,0.135074079289035,0.11566667116039,0.498395152140241,0.50775795850566,0.0554355219568483,0.539267820665326,0.313140641718751,0.358359659496665,0.317516636301051,0.374673765615963,0.694592047436592,0.44697524682892,0.378840798944041,0.360496776179791,0.109774318078661,0.354448560874461,0.0525524939500333,0.180868036348385,0.338385476790516,0.51822536197937,0.495414826677764,0.0994512492065911,0.563200768773537,0.298575886035345,0.331807744382314,0.146162848499303,0.419812237813028
"LA4_thibaudiana",0.300245631626321,0.216282415117287,0.266980210016532,0.109169319080244,0.261843952093612,0.123142954540183,0.115958900515257,0.268356087394345,0.224987511317706,0.22120061706112,0.207952030854397,0.113349291349072,0.104926852749799,0.413607596603608,0.41661151322071,0.0515896885529954,0.428679872843778,0.267936022138593,0.275039501630047,0.248727154245035,0.285383846126451,0.44697524682892,0.549624079474827,0.288981962397508,0.28817276999304,0.0993022690979934,0.274951824599233,0.0431773361187037,0.153050100474492,0.280461237509974,0.397015844311618,0.436937185394419,0.085195716368147,0.419791455966251,0.236960856660709,0.286680555254737,0.137138137439554,0.397244939968218
"LA41_NA",0.458755346347529,0.300772974984478,0.324748969623479,0.0939529125940308,0.30917621863881,0.182038790255304,0.10556186609105,0.263118602391216,0.366730794328519,0.341892306309265,0.279396141458485,0.109014789928733,0.106555278059014,0.421384605240922,0.367453474119515,0.0359482852389432,0.391122434321704,0.364469435220789,0.313265613955315,0.405114234137719,0.35925976840803,0.378840798944041,0.288981962397508,0.849659895081873,0.470522446598481,0.0975134427072808,0.447081853765276,0.0387791191363777,0.151898963811901,0.463201169606113,0.377093174787793,0.406206716729655,0.0739136137891762,0.433143932926636,0.245660025738107,0.538929755956388,0.10807230303743,0.309762934381653
"LA42_fosteriana.",0.586368179025435,0.273088877037605,0.310163707502345,0.0845828131574162,0.276415462330282,0.235279796858034,0.116446051647987,0.24696880726076,0.566261807450775,0.525235790300804,0.377107390531533,0.100236551006751,0.106971926453971,0.42951762497342,0.379863252053917,0.0347175166301625,0.387492049149585,0.352381411975235,0.290839448941335,0.599879054112888,0.324602894525743,0.360496776179791,0.28817276999304,0.470522446598481,0.813047454895675,0.112215820133846,0.343408004340159,0.0379853709371608,0.156082640908273,0.632090286847177,0.427852390147439,0.395474463830856,0.069981256848081,0.394050001313987,0.22395862394963,0.390972023951088,0.10222529680224,0.307880970539635
