"","sample","phenSumTIC","sapSumTIC","species_code","logPhen","logSap","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"217","LA49_1525",12562641.396892,42187.777068,"LA49",16.3462379991942,10.6498858151311,0.99665304650418,0.00334695349582005,29.16,0,0,1,0.99665304650418,0.00334695349582005
"218","LA49_621",7352675.385357,84478.996308,"LA49",15.8105748029656,11.3442582180456,0.98864095163652,0.01135904836348,29.16,0,0,1,0.98864095163652,0.01135904836348
"219","LA49_622",9475426.190066,44980.841492,"LA49",16.0642122884031,10.7139919334753,0.995275323697516,0.00472467630248357,29.16,0,0,1,0.995275323697516,0.00472467630248357
"220","LA49_623",2354640.453398,59295.774201,"LA49",14.6718986000605,10.9902933210807,0.975436064332164,0.0245639356678358,29.16,0,0,1,0.975436064332164,0.0245639356678358
"221","LA55_1459",27054208.282334,778946.596801,"LA55",17.1133531253646,13.5656977689741,0.972013715290862,0.0279862847091378,33.12,0,0,1,0.972013715290862,0.0279862847091378
"222","LA55_1550",10543795.273678,37205.766097,"LA55",16.1710481191549,10.5242190308571,0.996483719644565,0.00351628035543518,33.12,0,0,1,0.996483719644565,0.00351628035543518
"223","LA55_1638",4001809.238339,112759.58893,"LA55",15.2022571264078,11.6330132996911,0.97259504126345,0.0274049587365495,33.12,0,0,1,0.97259504126345,0.0274049587365495
"224","LA59_1511",2079339.677282,6422314.766617,"LA59",14.5475609384303,15.6752891662294,0.244580592048667,0.755419407951333,36.31666667,0,0,1,0.244580592048667,0.755419407951333
"225","LA59_1588",2716375.383806,8796530.178284,"LA59",14.8148089701155,15.9898679037703,0.235941775875462,0.764058224124538,36.31666667,0,0,1,0.235941775875462,0.764058224124538
"226","LA59_1601",1738626.495118,10763726.161022,"LA59",14.3686059888518,16.1916923502435,0.13906394603772,0.86093605396228,36.31666667,0,0,1,0.13906394603772,0.86093605396228
"227","LA59_615",1905843.597244,8076846.184496,"LA59",14.4604353017202,15.9045120306002,0.190914837474976,0.809085162525024,36.31666667,0,0,1,0.190914837474976,0.809085162525024
"228","LA59_617",1256643.869538,6279711.754648,"LA59",14.0439551296403,15.6528346384496,0.166744237162207,0.833255762837793,36.31666667,0,0,1,0.166744237162207,0.833255762837793
"229","LA6_1381",14862318.42483,48406.149627,"LA6",16.514339602906,10.7873821430426,0.996753601786065,0.00324639821393541,32.54,0,0,1,0.996753601786065,0.00324639821393541
"230","LA6_1387",10585411.800671,152663.703491,"LA6",16.1749873659673,11.9359927647922,0.985782954922246,0.0142170450777543,32.54,0,0,1,0.985782954922246,0.0142170450777543
"231","LA6_1392",16541715.968945,24465.021058,"LA6",16.6213959887895,10.1049996644627,0.998523194870757,0.00147680512924274,32.54,0,0,1,0.998523194870757,0.00147680512924274
"232","LA6_1398",16272967.400576,92755.118833,"LA6",16.6050158473578,11.4377181685209,0.994332354179719,0.00566764582028057,32.54,0,0,1,0.994332354179719,0.00566764582028057
"233","LA6_2439",1102606.894029,12497.251465,"LA6",13.9131878376386,9.43326401631263,0.988792749524338,0.0112072504756617,32.54,0,0,1,0.988792749524338,0.0112072504756617
"234","N1_1250",3990219.153197,1430628.573442,"N1",15.199356712971,14.1736244675046,0.73608766643423,0.26391233356577,34,0,0,1,0.73608766643423,0.26391233356577
"235","N1_1308_MS_NEG",562622.61499,5402940.050802,"N1",13.2403643715105,15.5024538172255,0.0943117433358325,0.905688256664168,34,0,0,1,0.0943117433358325,0.905688256664168
