cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
72	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1889.86	104	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
73	saponins_merged_spectra_2017_09_22.mgf	0	0	0	876.901	596	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
74	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1832.83	198	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
75	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1845.83	316	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
76	saponins_merged_spectra_2017_09_22.mgf	0	0	0	848.889	1190	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
77	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1758.81	184	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
78	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1859.84	447	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
79	saponins_merged_spectra_2017_09_22.mgf	0	0	0	848.889	236	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
80	saponins_merged_spectra_2017_09_22.mgf	0	0	0	877.894	1096	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
81	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1876.85	1291	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
82	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1582.74	1754	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
83	saponins_merged_spectra_2017_09_22.mgf	0	0	0	884.901	1718	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
84	saponins_merged_spectra_2017_09_22.mgf	0	0	0	623.14	2488	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
85	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1640.79	356	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
86	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1686.79	957	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
87	saponins_merged_spectra_2017_09_22.mgf	0	0	0	834.893	730	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
88	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1904.84	958	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
89	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1833.83	510	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
90	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1877.84	346	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
91	saponins_merged_spectra_2017_09_22.mgf	0	0	0	861.899	245	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
92	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1862.83	1280	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
93	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1656.79	845	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
94	saponins_merged_spectra_2017_09_22.mgf	0	0	0	856.886	1406	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
95	saponins_merged_spectra_2017_09_22.mgf	0	0	0	591.172	4302	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
96	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1044.95	234	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
97	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1222.54	1142	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
98	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1185.54	413	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
99	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1067.47	246	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
100	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1110.98	282	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
101	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1756.79	1672	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
102	saponins_merged_spectra_2017_09_22.mgf	0	0	0	963.937	230	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
103	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1032.44	1241	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
104	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1178.54	2041	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
105	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1177.54	1443	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
106	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1087.97	702	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
107	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1610.75	3012	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
108	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1009.95	806	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
109	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1206.55	817	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
110	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1052.46	100	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
111	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1042.96	1458	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
112	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1023.94	3041	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
113	saponins_merged_spectra_2017_09_22.mgf	0	0	0	992.441	214	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
114	saponins_merged_spectra_2017_09_22.mgf	0	0	0	979.938	542	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
115	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1142.51	1732	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
116	saponins_merged_spectra_2017_09_22.mgf	0	0	0	896.909	1545	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
117	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1121.51	1731	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
118	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1113.51	732	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
119	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1101.98	1471	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
120	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1057.96	1203	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
121	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1133.52	1944	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
122	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1097.47	1757	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
123	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1058.97	202	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
124	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1093.49	2539	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
125	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1053.49	2093	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
126	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1096.47	1479	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
127	saponins_merged_spectra_2017_09_22.mgf	0	0	0	900.894	1480	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
128	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1097.97	462	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
129	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1640.75	530	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
130	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1193.54	539	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
131	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1052.95	2574	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
132	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1199.54	1784	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
133	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1075.46	1652	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
134	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1127.51	2266	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
