"","species_code","sample","phenSumTIC","sapSumTIC","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"409","N12","N12_1553",317.478193822764,5.4570857967075,0.983101611557778,0.0168983884422223,28.26,0,0,1,0.983101611557778,0.0168983884422223
"410","N12","N12_1696",371.472083995372,9.71145237289146,0.974522896593548,0.0254771034064524,28.26,0,0,1,0.974522896593548,0.0254771034064524
"411","N12","N12_1702",378.983231208975,9.72287932315815,0.974986553954998,0.0250134460450021,28.26,0,0,1,0.974986553954998,0.0250134460450021
"412","N13","N13_1545",382.722211135426,270.227471301029,0.586143498389208,0.413856501610792,41.18571429,0,0,1,0.586143498389208,0.413856501610792
"413","N13","N13_1546",386.091186383401,268.742951345629,0.589601494696609,0.410398505303391,41.18571429,0,0,1,0.589601494696609,0.410398505303391
"414","N13","N13_1692",393.264980274743,260.354352679479,0.601672809305178,0.398327190694822,41.18571429,0,0,1,0.601672809305178,0.398327190694822
"415","N13","N13_1703",370.304059121165,255.23034461892,0.591980324194974,0.408019675805026,41.18571429,0,0,1,0.591980324194974,0.408019675805026
"416","N13","N13_1899",413.738983797785,265.13977015374,0.609444589905855,0.390555410094145,41.18571429,0,0,1,0.609444589905855,0.390555410094145
"417","N14","N14_1286_MS_NEG",589.979888262983,2.53355394660952,0.995724056593279,0.00427594340672075,38.12,0,0,1,0.995724056593279,0.00427594340672075
"418","N14","N14_1287_MS_NEG",592.15883817076,8.56699903008984,0.98573892032011,0.0142610796798898,38.12,0,0,1,0.98573892032011,0.0142610796798898
"419","N14","N14_1295_MS_NEG",551.173277172667,7.29609308192636,0.986935553728577,0.0130644462714226,38.12,0,0,1,0.986935553728577,0.0130644462714226
"420","N14","N14_1444",820.613320972491,10.1544542959372,0.987777024340338,0.0122229756596616,38.12,0,0,1,0.987777024340338,0.0122229756596616
"421","N14","N14_1445",826.951273353736,10.0225449802543,0.988025258663163,0.011974741336837,38.12,0,0,1,0.988025258663163,0.011974741336837
"422","N15","N15_1855",422.054831371833,15.7297439105925,0.964069670795402,0.0359303292045976,28.6,0,0,1,0.964069670795402,0.0359303292045976
"423","N15","N15_1835",428.314955424769,15.1586900693726,0.965818284303046,0.0341817156969541,28.6,0,0,1,0.965818284303046,0.0341817156969541
"424","N15","N15_1854",404.662473681956,15.2150744514792,0.96376306730589,0.0362369326941099,28.6,0,0,1,0.96376306730589,0.0362369326941099
"425","N15","N15_1795",378.517439927231,11.5035525972355,0.970505298899997,0.0294947011000026,28.6,0,0,1,0.970505298899997,0.0294947011000026
