cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
24	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	615.098	173	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
25	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	329.089	929	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
26	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	315.077	3658	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
27	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	287.222	707	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
28	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	457.077	78	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
29	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	301.034	1697	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
30	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	406.163	2458	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
31	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	327.218	1314	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
32	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	349.058	2779	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
33	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	836.15	920	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
34	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	285.06	333	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
35	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	684.113	1320	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
36	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	207.077	489	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
37	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	299.222	841	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
38	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	449.108	18	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
39	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	452.277	815	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
40	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	327.253	1186	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
41	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	311.222	3502	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
42	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	197.117	1184	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
43	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	341.139	3191	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
44	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	299.055	405	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
45	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	507.222	2288	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
46	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	463.087	1039	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
47	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	505.207	2705	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
48	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	169.013	804	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
49	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	465.103	135	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
50	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	209.03	1217	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
51	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	684.104	306	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
52	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	513.307	4553	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
53	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	761.134	1833	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
54	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	269.213	3439	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
55	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	760.125	1267	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
56	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	332.076	56	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
57	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	836.131	2633	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
58	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	411.022	3675	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
59	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	305.068	1188	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
60	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	180.066	358	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
61	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	636.098	2367	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
62	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	449.071	1074	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
63	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	599.103	867	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
64	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	767.111	768	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
65	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	479.082	3109	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
66	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	491.139	2330	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
67	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	343.066	92	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
68	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	788.11	1842	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
69	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	405.103	4030	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
70	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	1064.16	5051	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
71	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	305.066	95	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
72	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	447.093	185	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
73	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	243.051	3312	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
74	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	913.141	3412	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
75	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	457.077	67	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
76	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	477.103	168	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
77	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	343.065	572	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
78	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	332.077	46	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
79	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	635.088	694	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
80	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	331.065	1030	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
81	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	483.076	647	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
82	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	761.135	1395	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
83	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	481.099	1716	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
84	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	483.076	648	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
85	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	343.066	385	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
86	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	564.33	1043	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
87	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	169.014	1639	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
88	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	495.076	76	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
89	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	483.077	509	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
90	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	331.065	3677	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
91	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	452.277	1683	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
92	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	562.314	1322	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
93	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	609.088	402	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
94	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	484.087	171	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
95	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	321.024	258	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
96	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	629.114	3583	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
97	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	354.058	534	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
98	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	761.136	453	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
99	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	457.075	681	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
100	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	637.079	2948	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
101	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	767.111	522	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
102	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	289.072	81	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
103	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	434.081	4782	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
104	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	1008.72	743	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
105	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	419.098	2824	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
106	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	865.196	824	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
107	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	864.186	3949	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
108	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	435.092	228	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
109	phenolics_merged_spectra_2017_09_22.mgf	0	0	0	575.118	5124	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phenolics_merged_spectra_2017_09_22.mgf	spec-00000.mgf
