compound_sample,compound_number,TIC
LA8_644_2,3952,19844.121155
LA8_644_2,4029,1312.146729
LA8_644_2,4046,45619.234375
LA8_644_2,4073,10944.296326
LA8_644_2,4083,6519.877686
LA8_644_2,4097,2852.163269
LA8_644_2,4106,7990.522812
LA8_644_2,4113,2513.202637
LA8_644_2,4154,2555.374146
LA8_644_2,4157,4753.648071
LA8_644_2,4176,7927.125671
LA8_644_2,4260,3019.359985
LA8_644_2,4272,4096.464233
LA8_644_2,4381,19862.316284
LA8_644_2,4417,40084.493286
LA8_644_2,4435,290798.311157
LA8_644_2,4437,1977.683929
LA8_644_2,4463,17216.489990
LA8_644_2,4510,36841.060608
LA8_644_2,4518,6475.567322
LA8_644_2,4521,8039.363647
LA8_644_2,4525,1130.880737
LA8_644_2,4580,28856.523560
LA8_644_2,4589,1624.616211
LA8_644_2,4636,6259.105042
LA8_644_2,4642,170279.421997
LA8_644_2,4684,7022.971588
N15_1795,63,478184.829269
N15_1795,87,211008.538864
N15_1795,115,248064.839676
N15_1795,127,22986.570831
N15_1795,168,249457.213531
N15_1795,178,185678.825562
N15_1795,188,511348.214630
N15_1795,196,276040.049225
N15_1795,241,11601.694336
N15_1795,308,152520.605835
N15_1795,344,357918.504456
N15_1795,345,145873.292084
N15_1795,346,293898.568817
N15_1795,364,471303.915787
N15_1795,384,186491.866119
N15_1795,389,13663.670471
N15_1795,474,4889.346771
N15_1795,505,376703.383423
N15_1795,539,63212.587738
N15_1795,558,93141.222748
N15_1795,568,89024.447083
N15_1795,617,87072.968750
N15_1795,623,5497.994751
N15_1795,627,44942.132355
N15_1795,694,1910.463074
N15_1795,702,79292.058899
N15_1795,783,203180.505417
N15_1795,794,2435.597961
N15_1795,845,32663.940094
N15_1795,868,38974.915649
N15_1795,958,386.186707
N15_1795,979,3079.518463
N15_1795,1068,156358.117783
N15_1795,1078,31015.641663
N15_1795,1082,12541.875763
N15_1795,1124,16380.901031
N15_1795,1129,386.186707
N15_1795,1138,1910.939240
N15_1795,1147,120292.700684
N15_1795,1180,34505.057861
N15_1795,1200,37726.851563
N15_1795,1230,1823.887329
N15_1795,1280,136240.103378
N15_1795,1296,4562.927429
N15_1795,1426,4859.552338
N15_1795,1542,3428.639221
N15_1795,1611,6069.991089
N15_1795,1661,22762.201141
N15_1795,1695,29932.123840
N15_1795,1701,19611.868469
N15_1795,1809,6114.834778
N15_1795,1873,14515.977966
N15_1795,1923,12070.102478
N15_1795,1992,12840.122253
N15_1795,2128,6839.093903
N15_1795,2139,812.587250
N15_1795,2289,31937.683105
N15_1795,2300,301.000000
N15_1795,2343,22952.089233
N15_1795,2374,3476.825500
N15_1795,2438,16144.874847
N15_1795,2733,16015.231689
N15_1795,2782,8205.726013
N15_1795,2827,5202.140228
N15_1795,2900,5538.487213
N15_1795,2967,5322.798157
N15_1795,2984,3924.705170
N15_1795,3053,41218.902710
N15_1795,3055,52513.424316
N15_1795,3062,4226.747284
N15_1795,3081,1678.720093
N15_1795,3116,51586.855804
N15_1795,3139,13249.194336
N15_1795,3170,2844.344849
N15_1795,3294,30898.881653
N15_1795,3352,9665.055054
N15_1795,3371,6870.018433
N15_1795,3384,32422.365723
N15_1795,3505,38142.253357
N15_1795,3579,426.000000
N15_1795,3613,15570.114014
N15_1795,3623,3134.948914
N15_1795,3673,11859.535690
N15_1795,3693,16598.822723
N15_1795,3719,2018.935638
N15_1795,3780,220086.281250
N15_1795,3845,7885.112213
N15_1795,3903,3550.138916
N15_1795,3942,31809.071991
N15_1795,3958,7475.162384
N15_1795,4073,1910.463074
N15_1795,4102,1401.023071
N15_1795,4155,33204.561035
N15_1795,4247,19590.319153
N15_1795,4402,14862.524933
N15_1795,4451,3668.806870
N15_1795,4463,1118.801575
N15_1795,4569,12832.655914
N15_1795,4628,10333.069107
N15_1795,4642,96899.672119
IngU_1402_2,18,64211.532379
IngU_1402_2,32,5234240.101303
IngU_1402_2,60,434026.717133
IngU_1402_2,61,21758.081390
IngU_1402_2,73,500945.894730
IngU_1402_2,77,49205.232666
IngU_1402_2,79,35504.225220
IngU_1402_2,92,6324.540009
IngU_1402_2,96,15961.005371
IngU_1402_2,115,9500.471375
IngU_1402_2,139,1045490.678391
IngU_1402_2,140,63059.675598
IngU_1402_2,141,796360.897507
IngU_1402_2,150,4001568.885223
IngU_1402_2,181,1158822.982910
IngU_1402_2,189,2190556.732910
IngU_1402_2,216,33415.225861
IngU_1402_2,251,159180.919983
IngU_1402_2,291,251045.912888
IngU_1402_2,293,125327.237762
IngU_1402_2,324,792420.940674
IngU_1402_2,343,3136.870422
IngU_1402_2,356,121479.230011
IngU_1402_2,368,99170.465256
IngU_1402_2,433,27199.989990
IngU_1402_2,439,50079.291626
IngU_1402_2,441,876334.013306
IngU_1402_2,468,2587963.105103
IngU_1402_2,475,7185.956390
IngU_1402_2,480,328058.500870
IngU_1402_2,484,15787.019165
IngU_1402_2,494,61629.844009
IngU_1402_2,502,5221.615417
IngU_1402_2,532,202486.779633
IngU_1402_2,550,125259.280823
IngU_1402_2,570,277207.638184
IngU_1402_2,604,176292.332306
IngU_1402_2,637,9335.225052
IngU_1402_2,639,180331.493393
IngU_1402_2,640,1036.047852
IngU_1402_2,669,7714.388123
IngU_1402_2,674,26232.305023
IngU_1402_2,687,42461.497055
IngU_1402_2,694,36153.057068
IngU_1402_2,729,218250.310150
IngU_1402_2,794,246357.715103
IngU_1402_2,818,5839.451538
IngU_1402_2,840,55463.342957
IngU_1402_2,848,2314.895584
IngU_1402_2,881,11332.293732
IngU_1402_2,898,17143.026123
IngU_1402_2,900,119361.194000
IngU_1402_2,906,14818.505524
IngU_1402_2,916,89399.763641
IngU_1402_2,958,5492.539383
IngU_1402_2,966,265310.534119
IngU_1402_2,985,23223.190094
IngU_1402_2,996,317521.856903
IngU_1402_2,1000,153701.355286
IngU_1402_2,1010,23223.190094
IngU_1402_2,1012,672892.496185
IngU_1402_2,1082,20422.656219
IngU_1402_2,1112,119995.552063
IngU_1402_2,1125,25922.670990
IngU_1402_2,1129,5002.211945
IngU_1402_2,1137,77544.756348
IngU_1402_2,1138,65587.292542
IngU_1402_2,1140,24434.361328
IngU_1402_2,1142,2508.633026
IngU_1402_2,1163,105889.987000
IngU_1402_2,1224,286922.738464
IngU_1402_2,1234,7630.924011
IngU_1402_2,1287,5144.063721
IngU_1402_2,1362,1758.854034
IngU_1402_2,1370,17458.300812
IngU_1402_2,1371,56070.682526
IngU_1402_2,1384,17620.804626
IngU_1402_2,1409,11248.765411
IngU_1402_2,1441,49795.584686
IngU_1402_2,1445,3792.822845
IngU_1402_2,1461,3281.253967
IngU_1402_2,1542,1807.546631
IngU_1402_2,1601,9825.200897
IngU_1402_2,1611,33385.969818
IngU_1402_2,1627,3457.935059
IngU_1402_2,1656,224380.318878
IngU_1402_2,1694,128816.955963
IngU_1402_2,1697,18381.638885
IngU_1402_2,1709,30605.959595
IngU_1402_2,1726,16706.198578
IngU_1402_2,1736,7138.648682
IngU_1402_2,1767,2372.981689
IngU_1402_2,1804,26054.187592
IngU_1402_2,1841,55986.083008
IngU_1402_2,1872,20544.664093
IngU_1402_2,1898,1595.832397
IngU_1402_2,1904,39054.699341
IngU_1402_2,1905,47684.983826
IngU_1402_2,1908,593091.158752
IngU_1402_2,1917,11916.202759
IngU_1402_2,1925,8055.938263
IngU_1402_2,1928,5487.402191
