feature_number,rt,mz
84,11.762921,597.181449
85,7.325381,607.108111
86,6.830268,609.123798
87,10.879048,609.145039
88,7.083520,610.127204
89,10.294755,611.136602
90,21.471300,612.426000
91,20.986458,616.421441
92,10.626450,623.124550
93,10.040850,624.131138
94,11.073253,625.140764
95,10.178800,626.143400
96,10.178800,627.145500
97,10.177400,628.148300
98,7.882567,631.100040
99,18.090128,632.416597
100,22.914600,633.400300
101,18.270259,633.419377
102,25.640405,658.432386
103,26.402421,659.435676
104,26.981642,660.438699
105,26.965300,661.440420
106,4.827777,664.051100
107,22.609080,674.427573
108,27.208483,675.359060
109,22.587108,675.430746
110,23.110513,676.433763
111,23.117825,677.435275
112,10.178800,678.050900
113,20.517575,688.406400
114,20.694100,690.422340
115,19.985767,691.425233
116,10.179600,693.127100
117,26.983217,704.437741
118,26.983747,705.440800
119,3.870188,708.039950
120,10.178800,709.092400
121,10.176000,710.097900
122,10.182200,724.056800
123,10.179600,725.065000
124,26.982744,726.419794
125,26.968112,727.422975
126,23.117129,742.414914
127,23.106500,743.418380
128,20.113100,748.465150
129,22.102000,749.468500
130,23.534957,764.463486
131,18.613500,765.462700
132,18.610000,766.465100
133,19.072796,778.474623
134,22.809771,780.460853
135,26.959600,788.390600
136,25.909289,790.474995
137,25.920467,791.477700
138,17.804965,794.469679
139,17.203637,795.472612
140,17.149240,796.476680
141,23.088067,804.385600
142,28.132800,804.470500
143,21.679326,806.469528
144,21.694025,806.970525
145,21.689650,807.472867
146,20.743712,808.484125
147,21.690700,810.467617
148,26.108575,820.463950
149,23.616392,820.484994
150,23.814371,821.488309
151,18.610200,832.445700
152,28.249800,834.478175
153,22.097610,836.479277
154,20.466200,836.979600
155,21.793381,837.482838
156,22.035920,838.485140
157,26.893800,850.474050
158,20.716800,858.464677
159,17.090100,862.456225
160,26.485900,864.490800
161,23.232273,866.489583
162,23.340811,867.492493
163,21.681733,874.456333
164,21.681900,875.459733
165,18.711300,880.481400
166,18.456875,880.503675
167,19.812600,881.508850
168,20.325673,882.485364
169,22.538910,883.482470
170,19.281387,896.503217
171,6.335586,897.187372
172,19.179300,897.506375
173,18.285500,898.505900
174,20.465633,904.464567
175,17.235450,910.481900
176,17.670615,910.514854
177,3.902207,911.164089
178,4.530706,913.179767
179,4.634826,914.182911
180,24.590628,922.514633
181,24.841057,923.517871
182,20.075641,924.529238
183,19.161067,926.512525
184,10.960164,927.181166
185,16.264333,927.513967
186,17.209500,928.514400
187,21.654300,936.427800
188,20.757100,938.509211
189,21.302140,939.009520
190,20.849237,939.511613
191,18.204584,940.524310
192,24.183130,952.524699
193,24.181960,953.527883
194,18.343400,964.487400
195,21.250005,968.519893
196,21.660195,969.523045
197,19.995316,970.534002
198,20.896517,984.514283
199,23.775874,985.514310
200,25.542150,990.501333
201,23.492262,998.529937
202,23.575327,999.532675
203,23.996500,1002.576800
204,24.000200,1003.581900
205,21.304280,1006.495040
206,24.130300,1042.534550
207,24.128567,1043.540050
208,21.635000,1056.553200
209,21.638500,1057.557650
210,22.156500,1072.544233
211,21.552017,1073.549583
212,22.248850,1074.552375
213,26.370200,1098.562433
214,26.675800,1099.569500
215,19.371567,1102.555533
216,18.826943,1103.559550
217,24.860200,1114.555800
218,26.983880,1317.874050
219,26.970944,1318.877500
220,26.963733,1319.881417
221,23.107900,1349.863080
222,23.093975,1350.865900
223,23.069500,1351.867500
224,12.748237,161.023696
225,7.274415,169.013536
226,18.814908,183.138934
227,9.566590,225.113074
228,13.682282,269.044872
229,27.446588,275.200927
230,10.112913,287.055048
231,28.182232,293.211439
232,29.107899,295.227079
233,11.732119,301.033965
234,5.948395,315.073442
235,19.281736,327.216514
236,8.691135,329.089492
237,19.969607,329.232196
238,8.647656,341.088822
239,7.176919,349.058204
240,16.470463,395.136635
241,9.428963,455.060719
242,9.381846,457.076292
243,9.103611,458.079800
244,8.844376,479.058509
245,8.411287,532.092056
246,12.487466,615.098015
247,7.549385,759.118785
248,7.882955,760.124841
249,8.039675,761.134506
250,7.400699,762.138127
251,7.377270,763.140577
252,7.390127,783.116134
253,10.229300,789.164700
254,8.540537,836.131133
255,8.118544,836.148597
256,8.037677,836.650332
