compound_sample,compound_number,TIC
DN1439_polar,101,162274.899400
DN1439_polar,121,132635.395000
DN1439_polar,122,0.000000
DN1439_polar,133,0.000000
DN1439_polar,138,495968.995000
DN1439_polar,154,3768.110200
DN1439_polar,166,0.000000
DN1439_polar,181,8430.980500
DN1439_polar,193,0.000000
DN1439_polar,207,0.000000
DN1439_polar,219,0.000000
DN1439_polar,222,0.000000
DN1439_polar,224,109829.681200
DN1439_polar,255,3768.110200
DN1439_polar,329,3206.028400
DN1439_polar,378,0.000000
DN1439_polar,400,0.000000
DN1439_polar,418,0.000000
DN1439_polar,490,3206.028400
DN1439_polar,553,57823.657600
DN1439_polar,573,19783.503800
DN1439_polar,648,10991.183600
DN1439_polar,731,231352.601400
DN1439_polar,733,22366.519200
DN1439_polar,812,4719.974400
DN1439_polar,854,7412.123500
DN1439_polar,951,0.000000
DN2398_polar,17,1134919.787800
DN2398_polar,18,0.000000
DN2398_polar,67,1446306.924600
DN2398_polar,74,0.000000
DN2398_polar,100,1134134.059800
DN2398_polar,111,0.000000
DN2398_polar,133,8162.669000
DN2398_polar,163,0.000000
DN2398_polar,181,85173.370200
DN2398_polar,211,20667.496900
DN2398_polar,216,280859.127800
DN2398_polar,218,136707.111800
DN2398_polar,219,12974.787100
DN2398_polar,222,12974.787100
DN2398_polar,227,18581.885800
DN2398_polar,261,62046.871900
DN2398_polar,264,384637.244800
DN2398_polar,283,11782.910700
DN2398_polar,318,5459.142400
DN2398_polar,356,0.000000
DN2398_polar,378,8162.669000
DN2398_polar,397,14796.602000
DN2398_polar,438,27878.555500
DN2398_polar,478,3531.309100
DN2398_polar,490,21639.848000
DN2398_polar,541,11147.781500
DN2398_polar,549,151830.684400
DN2398_polar,554,0.000000
DN2398_polar,573,0.000000
DN2398_polar,598,9270.138100
DN2398_polar,638,0.000000
DN2398_polar,649,0.000000
DN2398_polar,731,119593.447500
DN2398_polar,768,17681.393800
DN2398_polar,854,0.000000
DN2398_polar,860,15372.427400
DN2398_polar,894,5730.494200
DN2398_polar,926,0.000000
DN2398_polar,970,0.000000
DN2398_polar,1014,0.000000
DN2398_polar,1026,12429.633600
DN2398_polar,1130,6691.559400
DN2398_polar,1157,5645.480400
DN2398_polar,1158,0.000000
DN2398_polar,1241,0.000000
DN2398_polar,1326,0.000000
DN2398_polar,1343,0.000000
DN2398_polar,1407,0.000000
DN2398_polar,1450,94538.944300
DN2192_polar,4,725025.287700
DN2192_polar,11,953434.718000
DN2192_polar,18,21735.667400
DN2192_polar,20,1615786.302600
DN2192_polar,33,10313.453800
DN2192_polar,46,2133.210400
DN2192_polar,67,7284.356000
DN2192_polar,74,3308.219700
DN2192_polar,76,59872.014400
DN2192_polar,77,64226.961800
DN2192_polar,96,138934.687600
