compound_sample,compound_number,TIC
IngU_1402_2,900,119361.194000
IngU_1402_2,996,317521.856903
IngU_1402_2,1012,672892.496185
IngU_1402_2,1112,119995.552063
IngU_1402_2,1163,105889.987000
IngU_1402_2,1224,286922.738464
IngU_1402_2,1370,17458.300812
IngU_1402_2,1371,56070.682526
IngU_1402_2,1384,17620.804626
IngU_1402_2,1441,49795.584686
IngU_1402_2,1601,9825.200897
IngU_1402_2,1694,128816.955963
IngU_1402_2,1697,18381.638885
IngU_1402_2,1726,16706.198578
IngU_1402_2,1804,26054.187592
IngU_1402_2,1872,20544.664093
IngU_1402_2,1904,39054.699341
IngU_1402_2,1905,47684.983826
IngU_1402_2,1925,8055.938263
IngU_1402_2,1949,49163.522522
IngU_1402_2,2063,6695.033356
IngU_1402_2,2122,66907.504822
IngU_1402_2,2123,54429.670532
IngU_1402_2,2128,4997.935089
IngU_1402_2,2211,25250.040833
IngU_1402_2,2247,10961.453796
IngU_1402_2,2278,2204.261505
IngU_1402_2,2291,28962.607605
IngU_1402_2,2320,10158.330200
IngU_1402_2,2370,7874.103302
IngU_1402_2,2480,56027.273315
IngU_1402_2,2513,67631.982422
IngU_1402_2,2530,17198.388657
IngU_1402_2,2560,27508.603210
IngU_1402_2,2566,15310.510803
IngU_1402_2,2626,11263.356018
IngU_1402_2,2668,5031.822174
IngU_1402_2,2681,28250.268921
IngU_1402_2,2703,36667.184082
IngU_1402_2,2721,16533.157166
IngU_1402_2,2746,1780.338745
IngU_1402_2,2783,7618.399811
IngU_1402_2,2793,6100.658691
IngU_1402_2,2795,21160.774231
IngU_1402_2,2806,12542.287201
IngU_1402_2,2864,11263.356018
IngU_1402_2,2916,20880.102905
IngU_1402_2,2950,1836.906128
IngU_1402_2,2952,9055.450958
IngU_1402_2,3014,10760.218445
IngU_1402_2,3024,6293.440857
IngU_1402_2,3079,1607.412506
IngU_1402_2,3118,4386.332397
IngU_1402_2,3139,2883.056885
IngU_1402_2,3163,6662.800507
IngU_1402_2,3164,7751.376465
IngU_1402_2,3167,3515.328186
IngU_1402_2,3210,12488.010223
IngU_1402_2,3215,9468.195831
IngU_1402_2,3259,13963.776001
IngU_1402_2,3269,675.834045
IngU_1402_2,3413,2801.227264
IngU_1402_2,3417,6904.377594
IngU_1402_2,3443,4741.422485
IngU_1402_2,3489,11004.861633
IngU_1402_2,3502,490.327438
IngU_1402_2,3537,10885.269043
IngU_1402_2,3542,19216.259094
IngU_1402_2,3559,2265.983429
IngU_1402_2,3597,10182.225830
IngU_1402_2,3605,2870.652649
IngU_1402_2,3616,370.644958
IngU_1402_2,3636,11974.829773
IngU_1402_2,3642,1102.924591
IngU_1402_2,3667,189.744308
IngU_1402_2,3668,23264.451874
IngU_1402_2,3681,10977.457733
IngU_1402_2,3755,301.230621
IngU_1402_2,3780,3395.486206
IngU_1402_2,3812,2754.528625
IngU_1402_2,3849,780.907471
IngU_1402_2,3851,6781.985596
IngU_1402_2,3868,8610.194717
IngU_1402_2,3872,5526.500427
IngU_1402_2,3923,14186.259918
IngU_1402_2,3924,10583.024902
IngU_1402_2,3944,9042.989380
IngU_1402_2,3963,4227.148132
IngU_1402_2,3974,3900.338989
IngU_1402_2,3990,1655.723389
IngU_1402_2,4000,1316.769775
IngU_1402_2,4013,3366.068420
IngU_1402_2,4057,228460.403259
IngU_1402_2,4108,16183.347412
IngU_1402_2,4129,22892.904144
IngU_1402_2,4166,217195.930664
IngU_1402_2,4171,3267.190430
IngU_1402_2,4225,465.454437
IngU_1402_2,4266,3476.160950
IngU_1402_2,4268,821.121368
IngU_1402_2,4271,1292.280548
IngU_1402_2,4285,4265.614502
IngU_1402_2,4322,1871.480225
IngU_1402_2,4347,14351.554413
IngU_1402_2,4357,3660.391418
IngU_1402_2,4362,1343.981232
IngU_1402_2,4366,20017.498962
IngU_1402_2,4403,3629.127548
IngU_1402_2,4416,682.978516
IngU_1402_2,4465,28970.048340
IngU_1402_2,4467,1291.599487
IngU_1402_2,4491,21068.869934
IngU_1402_2,4510,61377.181152
IngU_1402_2,4538,4576.617065
IngU_1402_2,4551,481.655518
IngU_1402_2,4584,1012.152649
IngU_1402_2,4603,23890.817993
IngU_1402_2,4605,11254.046997
IngU_1402_2,4661,14583.086487
IngU_1402_2,4663,1104.187836
IngU_1934,77,782806.879868
IngU_1934,251,1502807.916412
IngU_1934,291,186004.269897
IngU_1934,408,309299.763214
IngU_1934,494,252714.238098
IngU_1934,687,107005.329956
IngU_1934,818,110907.605103
IngU_1934,840,404742.084763
IngU_1934,881,87856.544434
IngU_1934,1010,78434.624878
IngU_1934,1012,194115.048828
IngU_1934,1210,497084.333069
IngU_1934,1224,159044.700897
IngU_1934,1234,66512.995178
IngU_1934,1362,161812.557449
IngU_1934,1370,50995.619934
IngU_1934,1502,10703.922272
IngU_1934,1601,19198.874390
IngU_1934,1696,23881.266327
IngU_1934,1697,156424.161743
IngU_1934,1726,22900.229553
IngU_1934,1732,10534.970886
IngU_1934,1751,16381.130035
IngU_1934,1821,69322.376038
IngU_1934,1872,8418.911743
IngU_1934,1904,15485.185181
IngU_1934,1917,77020.535858
IngU_1934,1925,12834.444550
IngU_1934,1932,200213.578003
IngU_1934,1949,49338.711609
IngU_1934,2011,54375.708862
IngU_1934,2122,89385.647949
IngU_1934,2124,13162.606750
IngU_1934,2128,19483.884216
IngU_1934,2247,22984.257080
IngU_1934,2300,1881.045990
IngU_1934,2307,10838.568054
IngU_1934,2320,42625.721313
IngU_1934,2330,31372.390961
IngU_1934,2332,36789.074524
IngU_1934,2368,50445.292664
IngU_1934,2370,35856.539551
IngU_1934,2408,3744.877655
IngU_1934,2463,15677.556030
IngU_1934,2480,42572.424866
IngU_1934,2495,51875.903076
IngU_1934,2517,120528.856323
IngU_1934,2530,31380.329956
IngU_1934,2566,26484.784363
IngU_1934,2635,2070.944946
IngU_1934,2649,31160.961914
IngU_1934,2668,15073.517273
IngU_1934,2681,68228.747131
IngU_1934,2746,37691.884094
IngU_1934,2783,322940.798889
IngU_1934,2793,31393.929779
IngU_1934,2806,178921.203308
IngU_1934,2823,39025.606750
IngU_1934,2873,74837.309570
IngU_1934,2952,8576.526917
IngU_1934,3014,13715.296631
IngU_1934,3024,15642.325073
IngU_1934,3081,355.000000
IngU_1934,3095,4087.792969
IngU_1934,3139,3735.542725
IngU_1934,3163,18660.656738
IngU_1934,3164,17944.398926
IngU_1934,3165,14474.780304
IngU_1934,3166,7297.371033
IngU_1934,3167,14650.008118
IngU_1934,3210,8191.555939
IngU_1934,3270,10893.360168
IngU_1934,3271,4168.507477
IngU_1934,3279,2863.434845
IngU_1934,3351,4513.486145
IngU_1934,3358,12234.997681
IngU_1934,3412,22609.339630
IngU_1934,3413,29256.618561
IngU_1934,3417,5936.606873
IngU_1934,3443,3060.843140
IngU_1934,3489,8030.646484
IngU_1934,3492,641.225586
IngU_1934,3585,466.229858
IngU_1934,3589,4710.009659
IngU_1934,3597,10015.461670
IngU_1934,3605,9578.351318
IngU_1934,3606,20673.496338
IngU_1934,3616,8144.214111
IngU_1934,3668,78919.755859
IngU_1934,3722,21645.196960
IngU_1934,3780,5333.522705
IngU_1934,3847,8000.436829
IngU_1934,3849,1038.518127
IngU_1934,3851,12197.274445
IngU_1934,3862,663.585449
IngU_1934,3868,15470.358490
IngU_1934,3872,10715.993744
IngU_1934,3911,8947.617798
IngU_1934,3924,3181.281128
IngU_1934,3938,3371.523895
IngU_1934,3944,8768.501099
IngU_1934,3963,15857.000854
IngU_1934,3974,7549.729858
IngU_1934,3983,2471.786346
IngU_1934,4018,11113.686340
IngU_1934,4057,26985.167542
IngU_1934,4063,6541.570984
IngU_1934,4079,4335.943359
IngU_1934,4108,13681.021606
IngU_1934,4129,57162.345703
IngU_1934,4166,302024.407349
IngU_1934,4171,23999.005127
IngU_1934,4219,452.715546
IngU_1934,4252,446.000000
IngU_1934,4285,11855.984070
IngU_1934,4339,23652.374969
IngU_1934,4347,41878.396667
IngU_1934,4357,4388.184204
IngU_1934,4366,26376.799072
IngU_1934,4453,4496.016968
IngU_1934,4463,8685.392609
IngU_1934,4465,15250.688416
IngU_1934,4537,10128.090759
IngU_1934,4539,13093.366592
IngU_1934,4583,7427.967834
IngU_1934,4585,1622.139526
IngU_1934,4641,4118.185547
IngU_1934,4661,3508.619476
IngU_1934,4663,34728.226166
IngU_1934,4707,1645.999023
T73_937_2,828,132360.565918
T73_937_2,897,85486.609100
T73_937_2,1134,17935.478363
T73_937_2,1226,47757.183167
T73_937_2,1373,69398.413849
T73_937_2,1688,37057.534485
T73_937_2,1854,13659.633759
T73_937_2,1902,2900.940887
T73_937_2,2364,10503.402832
T73_937_2,2510,14423.170135
T73_937_2,2844,22630.079498
T73_937_2,2856,52266.538910
T73_937_2,2906,17892.120544
T73_937_2,3014,3320.209717
T73_937_2,3024,5192.767517
T73_937_2,3066,830.042145
T73_937_2,3164,5621.013794
T73_937_2,3378,11769.235474
T73_937_2,3414,462.901855
T73_937_2,3417,1681.540894
T73_937_2,3656,1560.220139
T73_937_2,3657,9859.446655
T73_937_2,3711,1753.201233
T73_937_2,3730,4122.419556
T73_937_2,3825,400.258484
T73_937_2,3850,21977.604614
T73_937_2,3944,8361.477570
T73_937_2,3979,617.000000
T73_937_2,4006,187.902771
T73_937_2,4073,2780.370911
T73_937_2,4347,11702.636108
T73_937_2,4510,4185.250015
N9_1079_NEG_MS,1450,116567.882324
N9_1079_NEG_MS,1476,178392.232819
N9_1079_NEG_MS,1788,63400.509613
N9_1079_NEG_MS,2033,96284.051056
N9_1079_NEG_MS,2047,57909.556580
N9_1079_NEG_MS,2094,116727.302368
N9_1079_NEG_MS,2095,128690.007812
N9_1079_NEG_MS,2180,57145.552094
N9_1079_NEG_MS,2191,29872.579071
N9_1079_NEG_MS,2336,1702.909515
N9_1079_NEG_MS,2459,4001.105469
N9_1079_NEG_MS,2501,5041.853210
N9_1079_NEG_MS,2637,53589.994293
N9_1079_NEG_MS,2670,1822.293167
N9_1079_NEG_MS,2800,34732.637756
N9_1079_NEG_MS,3052,2065.168854
N9_1079_NEG_MS,3164,11559.698669
N9_1079_NEG_MS,3290,19239.033447
N9_1079_NEG_MS,3316,459.605591
N9_1079_NEG_MS,3329,993.909790
N9_1079_NEG_MS,3443,2153.285339
N9_1079_NEG_MS,3450,2868.522858
N9_1079_NEG_MS,3451,694.861053
N9_1079_NEG_MS,3485,1794.939514
N9_1079_NEG_MS,3504,2983.908691
N9_1079_NEG_MS,3597,4010.903198
N9_1079_NEG_MS,3613,11793.354919
N9_1079_NEG_MS,3617,602.316803
N9_1079_NEG_MS,3691,463.513245
N9_1079_NEG_MS,3780,5609.356247
N9_1079_NEG_MS,3826,2674.068787
N9_1079_NEG_MS,3884,3760.646744
N9_1079_NEG_MS,3974,503.002136
N9_1079_NEG_MS,4091,14180.667664
N9_1079_NEG_MS,4092,8809.480164
N9_1079_NEG_MS,4102,9527.763260
N9_1079_NEG_MS,4116,2954.805481
N9_1079_NEG_MS,4155,23983.986694
N9_1079_NEG_MS,4162,5901.080322
N9_1079_NEG_MS,4254,2060.258789
N9_1079_NEG_MS,4285,652.107117
N9_1079_NEG_MS,4440,954.373108
