compound_number,feature_number,TIC,mz,rt
3,3318,3117.382860,504.244800,5.257600
3,3319,1426.111420,527.248100,5.261200
3,3325,32207.380440,543.259800,5.258000
3,3326,15782.786340,543.762300,5.260900
3,3327,3121.524240,544.262600,5.254000
3,3331,16143.870440,566.262800,5.258000
3,3332,6970.318020,566.763900,5.256000
3,3344,1562.539700,763.429900,5.261200
3,3358,16680.547920,1087.531200,5.257600
3,3359,11586.288460,1088.031500,5.261200
3,3360,10111.730080,1088.534500,5.257600
3,3361,2275.778500,1089.033400,5.261200
3,3362,10546.515140,1133.545000,5.257600
3,3363,4399.199160,1134.549300,5.257600
4,620,875524.473080,924.531780,4.446022
4,621,415244.227420,925.533029,4.445786
4,622,25388.280660,926.033140,4.432540
4,624,16518.699020,948.033040,4.467440
4,626,8247501.638200,970.539696,4.546791
4,627,3330775.967682,971.543223,4.536977
4,628,944147.011800,972.547477,4.483546
4,629,88872.469540,973.549343,4.438129
4,638,72888.916520,1387.306050,4.449883
4,639,152416.344440,1387.806867,4.452400
4,640,153111.707800,1388.307840,4.456320
4,641,52792.861920,1388.810380,4.452300
4,1862,359406.197320,925.031043,4.457729
4,1873,53194.042040,1058.558600,4.438700
4,2640,13345.501540,947.528325,4.469650
4,2642,13363.413760,1059.561650,4.493150
4,2643,134624.727260,1083.591050,4.503050
4,2644,63806.407200,1084.594600,4.505700
4,2645,8285.416360,1085.596700,4.470500
4,2662,6483.289620,1389.305300,4.461600
4,623,6696.499520,926.536833,4.394067
4,3066,5916.225060,948.535050,4.466950
4,3464,3070.928520,1388.820900,4.463300
4,282,28420.375020,761.135415,4.649051
4,283,4616.441100,762.138494,4.620993
4,1670,1236.231860,892.418100,8.536600
4,897,27335.750780,971.544140,4.881120
5,863,20611.816130,736.443594,4.031047
5,864,23122.848250,736.945018,4.054924
5,876,9191309.749387,840.476331,4.037209
5,877,53342.855680,840.543794,4.045488
5,878,4333461.681353,841.478245,4.022650
5,879,84110.887340,843.485429,4.023388
5,911,5932.105400,1111.676200,3.992850
5,916,80250.413950,1192.208627,4.026482
5,917,129317.325047,1192.709648,4.027952
5,918,79974.839540,1193.211194,4.020300
5,919,32583.623160,1193.711929,4.016941
5,920,112147.132640,1215.710212,4.023859
5,921,79937.420340,1216.213553,4.021676
5,1931,708296.083863,842.481565,4.033688
5,2431,7282.419750,901.502808,4.098900
5,2439,1172.931780,1111.179157,4.027686
5,2446,50409.793890,1215.210333,4.034133
5,3203,4341.966500,923.514950,4.109450
5,3298,1103.512300,1112.172600,4.014700
5,930,1746.377000,181.071237,4.043941
5,2440,4561.803050,1111.688100,4.102200
5,2445,2923.172800,1194.214400,4.091500
5,2447,16813.954250,1216.717471,4.052886
5,8,14556.022440,133.013427,4.039863
5,892,12572.907200,928.495646,3.996357
5,893,1484.754760,929.497650,4.046350
5,3210,2107.382680,1217.217300,4.029100
6,1705,171964.086095,574.278153,5.674611
6,1706,82778.588160,574.779529,5.661293
6,1707,22452.984070,575.279711,5.671256
6,1717,34015.931890,1103.562633,5.677067
6,1718,17898.071240,1104.564000,5.681100
6,1720,10144.623680,1149.574467,5.675744
6,2865,16761.142040,323.097200,5.550800
6,2879,73699.838660,551.275700,5.550600
6,2880,37322.216880,551.777750,5.593850
6,2881,6805.885740,552.278600,5.558000
6,2882,646.768720,552.779800,5.543400
6,2895,7004.676280,597.281500,5.554200
6,2897,3240.517080,597.783600,5.548800
6,2904,11662.878080,779.459100,5.550500
6,2982,17604.882080,1104.062000,5.554400
6,2983,2294.010380,1105.063000,5.559500
6,2987,577.186600,1127.062000,5.539800
6,2989,1797.692360,1150.573700,5.557700
7,195,24870.367220,160.008578,4.803822
7,198,167940.689487,173.044884,4.820942
7,206,910005.509980,247.034251,4.880156
7,207,221271.560597,247.536063,4.916975
7,229,292241.014813,495.076574,4.868554
7,233,18265.185660,496.080033,4.818795
7,242,9292145.472913,647.087325,4.922702
